crime_place,crime_cnt
충주,411
파주,1012
평택,2412
포항,1367
강릉,271
거제,307
경산,232
경주,256
고양,437
광명,202
광주_광산,256
광주_남구,154
광주_동구,141
광주_북구,341
광주_서구,251
구리,151
구미,330
군산,297
군포,107
기타 도시,4619
김천,129
김해,522
남양주,272
논산,141
대구_남구,182
대구_달서,553
대구_달성군,223
대구_동구,292
대구_북구,372
대구_서구,205
대구_수성,300
대구_중구,313
대전_대덕,127
대전_동구,146
대전_서구,385
대전_유성,218
대전_중구,162
도시이외,3550
목포,337
범죄분류,상해
부산_강서,124
부산_금정,212
부산_기장군,133
부산_남구,250
부산_동구,189
부산_동래,250
부산_부산진,592
부산_북구,317
부산_사상,285
부산_사하,286
부산_서구,110
부산_수영,180
부산_연제,222
부산_영도,125
부산_중구,151
부산_해운대,312
부천,439
서산,203
서울_강남,422
서울_강동,212
서울_강북,223
서울_강서,219
서울_관악,221
서울_광진,172
서울_구로,223
서울_금천,168
서울_노원,213
서울_도봉,123
서울_동대문,166
서울_동작,154
서울_마포,157
서울_서대문,173
서울_서초,182
서울_성동,144
서울_성북,157
서울_송파,297
서울_양천,109
서울_영등포,271
서울_용산,154
서울_은평,225
서울_종로,222
서울_중구,202
서울_중랑,217
성남,654
수원,684
순천,368
시흥,320
아산,316
안동,169
안산,504
안양,339
양산,316
여수,326
용인,269
울산_남구,344
울산_동구,151
울산_북구,150
울산_울주군,243
울산_중구,217
원주,367
의정부,278
이천,157
익산,200
인천_강화군,73
인천_계양,116
인천_남동,321
인천_동구,54
인천_미추홀,354
인천_부평,329
인천_서구,207
인천_연수,143
인천_옹진군,15
인천_중구,197
전주,520
정읍,109
제주,534
제천,106
진주,344
창원,1041
천안,568
청주,757
춘천,314
충주,177
파주,281
평택,611
포항,576
강릉,75
거제,107
경산,136
경주,77
고양,408
광명,141
광주_광산,136
광주_남구,59
광주_동구,60
광주_북구,158
광주_서구,154
구리,83
구미,133
군산,78
군포,92
기타 도시,2295
김천,91
김해,179
남양주,213
논산,43
대구_남구,71
대구_달서,223
대구_달성군,57
대구_동구,145
대구_북구,184
대구_서구,71
대구_수성,137
대구_중구,58
대전_대덕,87
대전_동구,93
대전_서구,235
대전_유성,130
대전_중구,127
도시이외,1352
목포,154
범죄분류,협박
부산_강서,61
부산_금정,104
부산_기장군,41
부산_남구,103
부산_동구,65
부산_동래,90
부산_부산진,222
부산_북구,118
부산_사상,125
부산_사하,90
부산_서구,42
부산_수영,77
부산_연제,107
부산_영도,42
부산_중구,35
부산_해운대,163
부천,458
서산,59
서울_강남,278
서울_강동,144
서울_강북,147
서울_강서,214
서울_관악,174
서울_광진,156
서울_구로,146
서울_금천,153
서울_노원,226
서울_도봉,112
서울_동대문,138
서울_동작,110
서울_마포,144
서울_서대문,114
서울_서초,168
서울_성동,99
서울_성북,133
서울_송파,263
서울_양천,123
서울_영등포,243
서울_용산,118
서울_은평,167
서울_종로,95
서울_중구,90
서울_중랑,161
성남,406
수원,643
순천,141
시흥,263
아산,159
안동,81
안산,404
안양,226
양산,126
여수,173
용인,328
울산_남구,119
울산_동구,57
울산_북구,64
울산_울주군,85
울산_중구,65
원주,143
의정부,221
이천,128
익산,85
인천_강화군,21
인천_계양,149
인천_남동,246
인천_동구,30
인천_미추홀,219
인천_부평,250
인천_서구,230
인천_연수,103
인천_옹진군,2
인천_중구,66
전주,204
정읍,52
제주,358
제천,58
진주,139
창원,337
천안,279
청주,387
춘천,123
충주,85
파주,165
평택,320
포항,148
강릉,28
거제,18
경산,18
경주,23
고양,74
광명,16
광주_광산,43
광주_남구,16
광주_동구,11
광주_북구,29
광주_서구,39
구리,16
구미,77
군산,30
군포,18
기타 도시,636
김천,28
김해,106
남양주,66
논산,10
대구_남구,17
대구_달서,48
대구_달성군,10
대구_동구,17
대구_북구,23
대구_서구,15
대구_수성,30
대구_중구,29
대전_대덕,25
대전_동구,24
대전_서구,50
대전_유성,23
대전_중구,41
도시이외,310
목포,20
범죄분류,공갈
부산_강서,17
부산_금정,25
부산_기장군,22
부산_남구,31
부산_동구,14
부산_동래,19
부산_부산진,53
부산_북구,29
부산_사상,31
부산_사하,25
부산_서구,18
부산_수영,14
부산_연제,42
부산_영도,11
부산_중구,10
부산_해운대,44
부천,127
서산,25
서울_강남,139
서울_강동,34
서울_강북,33
서울_강서,44
서울_관악,51
서울_광진,48
서울_구로,48
서울_금천,16
서울_노원,37
서울_도봉,23
서울_동대문,39
서울_동작,56
서울_마포,41
서울_서대문,45
서울_서초,59
서울_성동,30
서울_성북,43
서울_송파,55
서울_양천,29
서울_영등포,50
서울_용산,23
서울_은평,44
서울_종로,45
서울_중구,35
서울_중랑,33
성남,75
수원,160
순천,23
시흥,55
아산,23
안동,12
안산,73
안양,94
양산,40
여수,34
용인,76
울산_남구,31
울산_동구,6
울산_북구,13
울산_울주군,16
울산_중구,19
원주,27
의정부,30
이천,14
익산,20
인천_강화군,5
인천_계양,28
인천_남동,66
인천_동구,5
인천_미추홀,70
인천_부평,72
인천_서구,72
인천_연수,65
인천_옹진군,1
인천_중구,39
전주,96
정읍,16
제주,68
제천,8
진주,18
창원,107
천안,49
청주,109
춘천,32
충주,23
파주,33
평택,53
포항,57
강릉,2
거제,1
경산,0
경주,1
고양,13
광명,2
광주_광산,2
광주_남구,0
광주_동구,2
광주_북구,0
광주_서구,0
구리,0
구미,4
군산,2
군포,0
기타 도시,28
김천,0
김해,0
남양주,4
논산,2
대구_남구,0
대구_달서,0
대구_달성군,0
대구_동구,1
대구_북구,0
대구_서구,1
대구_수성,0
대구_중구,0
대전_대덕,0
대전_동구,2
대전_서구,1
대전_유성,1
대전_중구,1
도시이외,19
목포,5
범죄분류,약취와 유인
부산_강서,0
부산_금정,1
부산_기장군,1
부산_남구,3
부산_동구,0
부산_동래,1
부산_부산진,0
부산_북구,2
부산_사상,1
부산_사하,1
부산_서구,1
부산_수영,1
부산_연제,2
부산_영도,0
부산_중구,0
부산_해운대,2
부천,6
서산,1
서울_강남,6
서울_강동,2
서울_강북,2
서울_강서,2
서울_관악,6
서울_광진,1
서울_구로,3
서울_금천,3
서울_노원,3
서울_도봉,0
서울_동대문,1
서울_동작,0
서울_마포,0
서울_서대문,2
서울_서초,8
서울_성동,2
서울_성북,3
서울_송파,3
서울_양천,0
서울_영등포,3
서울_용산,1
서울_은평,3
서울_종로,2
서울_중구,1
서울_중랑,3
성남,2
수원,4
순천,0
시흥,5
아산,2
안동,0
안산,7
안양,3
양산,2
여수,0
용인,6
울산_남구,1
울산_동구,0
울산_북구,0
울산_울주군,1
울산_중구,0
원주,4
의정부,3
이천,1
익산,1
인천_강화군,1
인천_계양,2
인천_남동,1
인천_동구,0
인천_미추홀,2
인천_부평,3
인천_서구,0
인천_연수,1
인천_옹진군,0
인천_중구,2
전주,1
정읍,0
제주,3
제천,0
진주,1
창원,7
천안,2
청주,6
춘천,1
충주,1
파주,4
평택,3
포항,0
강릉,13
거제,7
경산,9
경주,9
고양,23
광명,11
광주_광산,13
광주_남구,6
광주_동구,4
광주_북구,16
광주_서구,21
구리,8
구미,12
군산,8
군포,6
기타 도시,144
김천,5
김해,21
남양주,22
논산,1
대구_남구,5
대구_달서,16
대구_달성군,13
대구_동구,8
대구_북구,17
대구_서구,4
대구_수성,12
대구_중구,5
대전_대덕,4
대전_동구,3
대전_서구,14
대전_유성,9
대전_중구,10
도시이외,101
목포,10
범죄분류,체포와 감금
부산_강서,2
부산_금정,4
부산_기장군,4
부산_남구,3
부산_동구,1
부산_동래,2
부산_부산진,11
부산_북구,5
부산_사상,7
부산_사하,4
부산_서구,2
부산_수영,3
부산_연제,4
부산_영도,1
부산_중구,2
부산_해운대,11
부천,15
서산,0
서울_강남,15
서울_강동,8
서울_강북,7
서울_강서,27
서울_관악,14
서울_광진,11
서울_구로,5
서울_금천,7
서울_노원,12
서울_도봉,6
서울_동대문,9
서울_동작,7
서울_마포,12
서울_서대문,7
서울_서초,16
서울_성동,3
서울_성북,5
서울_송파,13
서울_양천,4
서울_영등포,16
서울_용산,6
서울_은평,12
서울_종로,11
서울_중구,6
서울_중랑,11
성남,22
수원,26
순천,6
시흥,11
아산,15
안동,4
안산,24
안양,10
양산,7
여수,9
용인,24
울산_남구,20
울산_동구,8
울산_북구,2
울산_울주군,3
울산_중구,8
원주,8
의정부,25
이천,4
익산,13
인천_강화군,0
인천_계양,14
